umls_cui_from_meddra	side_effect_name
C0086066	Acute Coryza
C0023440	Acute Erythroblastic Leukemia
C0856825	Acute GVH disease
C0877055	Acute Generalized Exanthematous Pustulosis
C1565662	Acute Kidney Insufficiency
C0023487	Acute Promyelocytic Leukemia
C0413234	Acute allergic reaction
C1735634	Acute allograft rejection
C0857035	Acute anaphylaxis
C0262417	Acute and chronic pancreatitis
C0154946	Acute angle-closure glaucoma
C0085693	Acute appendicitis NOS (disorder)
C0149514	Acute bronchitis
C1739418	Acute cardiac toxicity
C0522051	Acute chest pain
C1735630	Acute cholestatic hepatitis
C1285577	Acute confusional state
C0149523	Acute cystitis
C1736172	Acute cytolytic hepatitis
C1386135	Acute depression
C0740441	Acute diarrhea
C0743323	Acute dyspnea
C1735368	Acute dystonia
C3203466	Acute enterocolitis
C0267446	Acute gastroenteritis
C0281773	Acute glaucoma
C1387528	Acute haemolytic anaemia
C0162565	Acute intermittent porphyria
C0149937	Acute interstitial nephritis
C1279945	Acute interstitial pneumonia
C2609414	Acute kidney injury
C0085669	Acute leukemia
C0857331	Acute liver damage
C2242583	Acute liver injury
C0023449	Acute lymphocytic leukemia
C1740836	Acute migraine
C0155626	Acute myocardial infarction
C0746731	Acute myocardial ischemia
C0268733	Acute nephritis
C0184567	Acute onset pain
C1963951	Acute overdose
C2747793	Acute phosphate nephropathy
C1167654	Acute prerenal failure
C0281774	Acute psychosis
C0155919	Acute pulmonary oedema
C0520575	Acute pyelonephritis
C0264490	Acute respiratory failure
C0341742	Acute retention of urine
C0857501	Acute schizophrenia
C0149512	Acute sinusitis
C0001361	Acute tonsillitis
C0234935	Acute urticaria
C1735373	Acute uveitis
C0001349	Acute-Phase Reaction
C0001396	Adams-Stokes Syndrome
C0001403	Addison Disease
C0151467	Addisonian crisis
C0001416	Adenitis
C0001418	Adenocarcinoma
C0007112	Adenocarcinoma of prostate
C0281361	Adenocarcinoma pancreas
C0001430	Adenoma
C0001486	Adenovirus Infections
C0154933	Adhesions of iris
C0333650	Adipose Tissue Atrophy
C0001546	Adjustment Disorders
C1735864	Administration site infection
C0851536	Administration site reaction
C1142117	Adnexa uteri pain
C0740804	Adnexal torsion
C0750887	Adrenal Cancer
C0001621	Adrenal Gland Diseases
C0001622	Adrenal Gland Hyperfunction
C0342490	Adrenal atrophy
C1370740	Adrenal carcinoma
C0151510	Adrenal cortex atrophy
C0405580	Adrenal cortical hypofunction
C0001623	Adrenal gland hypofunction
C0274714	Adrenergic syndrome
C3495917	Advanced breast cancer
C0877373	Advanced cancer
C0559546	Adverse reactions
C0001707	Aerophagy
C0233472	Affect lability
C1291736	After taste
C1306068	After-cataract
C0001762	Afterimage
C0175754	Agenesis of corpus callosum
C0541766	Aggravation of existing disorder
C0001807	Aggressive behavior
C1457883	Aggressive reaction
C0085631	Agitation
C0919572	Agitation postoperative
C0001816	Agnosia
C0001818	Agoraphobia
C0001824	Agranulocytosis
C0001883	Airway Obstruction
C0919569	Airway complication of anaesthesia
C2939065	Airway edema
C0392156	Akathisia
C0426959	Akinaesthesia
C0085623	Akinesia
C0855619	Alanine aminotransferase abnormal
C0855618	Alanine aminotransferase decreased
C0151905	Alanine aminotransferase increased
C0855620	Alanine aminotransferase normal
C0001916	Albinism
C0151472	Albumin globulin ratio abnormal
C0740469	Albumin high
C0860864	Albumin low
C0861120	Albumin urine increased
C0564622	Albumin urine present
C0001925	Albuminuria
C0001957	Alcohol Withdrawal Delirium
C0085762	Alcohol abuse
C0556385	Alcohol craving
C0151474	Alcohol intolerance
C0392620	Alcohol poisoning
C0549393	Alcohol problem
C0236663	Alcohol withdrawal syndrome
C0001969	Alcoholic Intoxication
C0001973	Alcoholic Intoxication, Chronic
C0877609	Alertness decreased
C0151849	Alkaline phosphatase raised
C0750857	Alkaline phosphatase serum increased
C0002063	Alkalosis
C0151476	Alkalosis hypochloraemic
C0002064	Alkalosis, Respiratory
C0009766	Allergic Conjunctivitis
C1609536	Allergic bronchospasm
C1112626	Allergic exanthema
C1959797	Allergic hepatitis
C0847033	Allergic oedema
C0850569	Allergic rash
C2607914	Allergic rhinitis (disorder)
C0748726	Allergic sinusitis
C0863090	Allergic skin reaction
C0149526	Allergic urticaria
C0235893	Allergy aggravated
C0458247	Allodynia
C0002170	Alopecia
C0858678	Alopecia reversible
C0231365	Alteration in patterns of urinary elimination
C0740425	Altered Taste
C0150450	Altered state of consciousness
C1096444	Altered visual depth perception
C0013240	Alveolar periostitis
C0549493	Alveolitis
C0002395	Alzheimer's Disease
C0376288	Amaurosis
C0149793	Amaurosis Fugax
C0002418	Amblyopia
C0002447	Amelia
C0002453	Amenorrhea
C0232940	Amenorrhea secondary
C0238621	Aminoaciduria
C0541772	Ammonia increased
C0002622	Amnesia
C0233795	Amnesia, Anterograde
C0338591	Amnesia, Transient Global
C0859978	Amylase decreased
C0151479	Amylase increased
C0002726	Amyloidosis
C0549445	Anaemia NOS aggravated
C0877398	Anaemia postoperative
C0854693	Anaesthetic complication neurological
C0016167	Anal Fissure
C0205929	Anal Fistula
C0281778	Anal abscess
C0343869	Anal candidiasis
C0279637	Anal carcinoma
C0948484	Anal discomfort
C1735348	Anal irritation
C0345903	Anal skin tags
C0877325	Anal sphincter atony
C0948482	Analgesic effect
C0412784	Analgesic therapy
C0340865	Anaphylactoid reaction
C1868769	Anaphylactoid syndrome of pregnancy
C0334579	Anaplastic astrocytoma
C0238461	Anaplastic thyroid carcinoma
C0151603	Anasarca
C0919691	Anastomotic Leak
C1442968	Anastomotic ulcer
C0162311	Androgenetic Alopecia
C0002871	Anemia
C0948824	Anemia due to blood loss
C0002878	Anemia, Hemolytic
C0002886	Anemia, Macrocytic
C0002888	Anemia, Megaloblastic
C0002891	Anemia, Neonatal
C0002895	Anemia, Sickle Cell
C0857322	Anemic
C0002902	Anencephaly
C0002940	Aneurysm
C0002957	Anger
C0002962	Angina Pectoris
C0002963	Angina Pectoris, Variant
C0235467	Angina pectoris aggravated
C0858277	Angina symptom
C0002965	Angina, Unstable
C0235462	Anginal attack
C1695895	Angiodermatitis
C0002994	Angioedema
C0857323	Angioedema of larynx
C0019243	Angioedemas, Hereditary
C0334660	Angioendotheliomatosis
C0020981	Angioimmunoblastic Lymphadenopathy
C0206633	Angiomyolipoma
C0017605	Angle Closure Glaucoma
C0221237	Angular cheilitis
C0003028	Anhidrosis
C0003044	Animal bite
C0852919	Animal scratch
C0342592	Anion gap increased
C0003079	Anisocoria
C0221278	Anisocytosis
C0159877	Ankle Fractures
C0160087	Ankle Sprains
C0235439	Ankle edema (finding)
C0038013	Ankylosing spondylitis
C0234906	Annular Erythema
C0003119	Anophthalmos
C2242737	Anorectal discomfort
C0687707	Anorectal disorder
C0003123	Anorexia
C0234022	Anorgasmia
C0003126	Anosmia
C0234507	Anosognosia
C0003128	Anovulation
C0429468	Anovulatory cycle
C0003130	Anoxia
C0269608	Antepartum hemorrhage
C0751711	Anterior Ischemic Optic Neuropathy
C0221069	Anterior Spinal Artery Syndrome
C0423282	Anterior chamber cell
C0423281	Anterior chamber flare
C1096278	Anterior chamber inflammation
C1112371	Anterior chamber pigmentation
C0042165	Anterior uveitis
C0003175	Anthrax disease
C0403529	Anti-Glomerular Basement Membrane Disease
C0232826	Anti-diuresis (finding)
C1168134	Anti-thyroid antibody positive
C0085819	Antibiotic-Associated Colitis
C0578159	Antibiotic-associated diarrhea
C0151500	Anticholinergic Syndrome
C0860811	Antidiuretic hormone abnormality
C1610056	Antinuclear antibody increased
C0151480	Antinuclear antibody positive
C0003431	Antisocial Personality Disorder
C0233523	Antisocial behavior
C1096670	Antitussive therapy
C0003460	Anuria
C0003462	Anus Diseases
C0003466	Anus, Imperforate
C0003467	Anxiety
C0003469	Anxiety Disorders
C0853074	Anxiety NEC
C0549259	Anxiety aggravated
C0700031	Anxiety attack
C0338908	Anxiety depression
C0700613	Anxiety state
C0860603	Anxiety symptoms
C0003486	Aortic Aneurysm
C0162871	Aortic Aneurysm, Abdominal
C0003493	Aortic Diseases
C0003504	Aortic Valve Insufficiency
C0003507	Aortic Valve Stenosis
C1388177	Aortic arteriosclerosis
C0277934	Aortic bruit
C0003492	Aortic coarctation
C0741165	Aortic embolus
C1455780	Aortic valve sclerosis
C0549400	Apgar score low
C0221470	Aphagia
C0920195	Aphakic cystoid macular oedema
C0003537	Aphasia
C0003564	Aphonia
C0038363	Aphthous Stomatitis
C0243065	Aplasia
C0002874	Aplastic Anemia
C1368107	Aplastic bone marrow
C0003578	Apnea
C0162638	Apoptosis
C0003615	Appendicitis
C0003621	Appetite Disorders
C0426584	Appetite exaggerated
C0234943	Application site anaesthesia
C0392160	Application site atrophy
C0877661	Application site burn
C1696942	Application site cellulitis
C0948299	Application site discharge
C1142160	Application site discolouration
C1328375	Application site discomfort
C0877098	Application site dryness
C0919599	Application site eczema
C1696574	Application site erosion
C0853700	Application site erythema
C1142498	Application site excoriation
C1610049	Application site exfoliation
C1167675	Application site folliculitis
C0877095	Application site haematoma
C0877094	Application site haemorrhage
C0919600	Application site hyperaesthesia
C1504422	Application site hypersensitivity
C1535849	Application site induration
C0521496	Application site infection
C0877126	Application site inflammation
C0521490	Application site irritation
C0234936	Application site oedema
C0521491	Application site pain
C0877127	Application site papules
C0877096	Application site paraesthesia
C0521494	Application site pigmentation changes
C0853714	Application site pruritus
C0877128	Application site pustules
C0521495	Application site rash
C0151505	Application site reaction
C0948300	Application site scab
C1142459	Application site scar
C0948301	Application site skin breakdown
C2721737	Application site stinging
C1096001	Application site swelling
C0521492	Application site ulcer
C0919603	Application site urticaria
C0877097	Application site vesicles
C0858794	Application site warmth
C0003635	Apraxias
C0003708	Arachnoiditis
C0003742	Arcus Senilis
C1142068	Arcus lipoides
C1701474	Argumentativeness
C0239377	Arm Pain
C0232981	Arrest of spermatogenesis
C0003838	Arterial Occlusive Diseases
C0340613	Arterial aneurysm
C0151489	Arterial anomaly
C0549124	Arterial embolism
C0003834	Arterial insufficiency
C0085617	Arterial spasm
C0877334	Arterial stenosis limb
C3544094	Arterial thromboembolism
C0151942	Arterial thrombosis
C0003850	Arteriosclerosis
C0339478	Arteriosclerotic retinopathy
C0003855	Arteriovenous fistula
C0340909	Arteriovenous fistula thrombosis
C2242711	Arteritic anterior ischaemic optic neuropathy
C0003860	Arteritis
C0003862	Arthralgia
C0549234	Arthralgia aggravated
C0155943	Arthralgia of temporomandibular joint
C0857177	Arthritic pains
C0003864	Arthritis
C0235889	Arthritis aggravated
C1692886	Arthritis, Bacterial
C0003868	Arthritis, Gouty
C0003869	Arthritis, Infectious
C0022408	Arthropathy
C0853348	Arthropod bite
C0852932	Arthropod sting
C0003950	Ascariasis
C0003962	Ascites
C0025290	Aseptic Meningitis
C0520474	Aseptic Necrosis of Bone
C0085660	Aseptic necrosis
C0338375	Aseptic peritonitis
C0233528	Asocial behavior
C0855622	Aspartate aminotransferase decreased
C0151904	Aspartate aminotransferase increased
C0855624	Aspartate aminotransferase normal
C0004030	Aspergillosis
C0851807	Aspergillus infection
C1704202	Aspermia
C0004044	Asphyxia
C0032290	Aspiration Pneumonia
C0004063	Assault
C0521305	Assisted fertilisation
C0549201	Asteatosis
C0263465	Asteatosis cutis
C0232766	Asterixis
C0004093	Asthenia
C0004095	Asthenopia
C0004096	Asthma
C0549336	Asthma aggravated
C0347950	Asthma attack
C0004114	Astrocytoma
C1142524	Asymptomatic hyperlactatemia
C0004134	Ataxia
C0004144	Atelectasis
C0004153	Atherosclerosis
C1963943	Atherothrombosis
C0004158	Athetosis
C0004161	Athletic Injuries
C0403645	Atonic urinary bladder
C0002103	Atopic rhinitis
C0004238	Atrial Fibrillation
C0004239	Atrial Flutter
C0033036	Atrial Premature Complexes
C0018817	Atrial Septal Defects
C0085611	Atrial arrhythmia
C0155709	Atrial fibrillation and flutter
C0340278	Atrial hypertrophy
C0232203	Atrial rhythm
C0541782	Atrial standstill
C0546959	Atrial tachycardia
C0004245	Atrioventricular Block
C0232208	Atrioventricular junctional rhythm
C0333641	Atrophic
C0221392	Atrophic Vaginitis
C0151514	Atrophic condition of skin
C0155964	Atrophic glossitis
C0149836	Atrophic vulvovaginitis
C0151511	Atrophy of breast
C0041671	Attention Deficit Disorder
C0858899	Attention concentration difficulty
C1263846	Attention deficit hyperactivity disorder
C3160754	Atypical femur fracture
C3495700	Atypical fracture
C0427546	Atypical lymphocyte observed
C1412002	Atypical pneumonia
C3495947	Atypical stress fracture
C0740399	Auditory and visual hallucinations
C0236018	Aura
C0549297	Auricular swelling
C0004331	Auriculo-Ventricular Dissociation
C1510586	Autism Spectrum Disorders
C0004352	Autistic Disorder
C0004364	Autoimmune Diseases
C0242584	Autoimmune Thrombocytopenia
C0002880	Autoimmune hemolytic anemia
C0004377	Automatism
C0741307	Autonomic dysfunction
C1145628	Autonomic nervous system disorders
C0262385	Autonomic nervous system imbalance
C0259749	Autonomic neuropathy
C0410480	Avascular Necrosis of Femur Head
C0027543	Avascular necrosis of bone
C0376286	Avitaminosis
C0578735	Axillary lymphadenopathy
C0270921	Axonal neuropathy
C0004509	Azoospermia
C0235446	Azotaemia of renal origin
C0242528	Azotemia
C0079731	B-Cell Lymphomas
C1096691	BK virus infection
C0553713	BREAST PAIN FEMALE
C0034935	Babinski Reflex
C0004601	Back Injuries
C0004604	Back Pain
C0263888	Back disorder
C0235706	Back distress
C0856133	Back pain aggravated
C0004610	Bacteremia
C0948579	Bacteria urine identified
C0004623	Bacterial Infections
C0085166	Bacterial Vaginosis
C2747813	Bacterial colonisation
C0009768	Bacterial conjunctivitis
C0853960	Bacterial disease carrier
C0341503	Bacterial peritonitis
C0748023	Bacterial prostatitis
C1167760	Bacterial test positive
C0004659	Bacteriuria
C0852914	Bacteriuria NOS present
C0857051	Bad dreams
C0541799	Bad taste
C0004690	Balanitis
C0276684	Balanitis candida
C0004691	Balanoposthitis
C0919777	Band neutrophil count increased
C0576702	Barber's chair sign
C0234222	Baresthesia
C0004763	Barrett Esophagus
C0004767	Bartholin's cyst
C0007117	Basal cell carcinoma
C0004812	Basilar Artery Insufficiency
C0702266	Basophilia
C0542351	Battery (assault)
C0741453	Bedridden
C0270327	Bedwetting
C0004930	Behavior Disorders
C0474395	Behavior showing increased motor activity
C0376175	Bell Palsy
C0281784	Benign Meningioma
C0086692	Benign Neoplasm
C1704272	Benign Prostatic Hyperplasia
C0497538	Benign digestive system neoplasms
C0549315	Benign hydatidiform mole
C0496899	Benign neoplasm of brain, unspecified
C0346156	Benign neoplasm of breast
C0235922	Benign neoplasm of female breast
C0496870	Benign neoplasm of liver
C0496901	Benign neoplasm of pituitary gland
C0004998	Benign neoplasm of skin
C0154002	Benign neoplasm vagina
C0005001	Benign prostatic hypertrophy
C1321581	Bezoar disorder
C0541802	Bicarbonate decreased serum
C0428196	Bicarbonate level
C1142446	Bicytopenia
C3665473	Bilateral Deafness
C0521622	Bilateral hydronephrosis
C0740277	Bile duct carcinoma
C0267925	Bile duct stenosis
C0005411	Biliary Atresia
C0151824	Biliary Colic
C0282074	Biliary Sludge
C0005424	Biliary Tract Diseases
C0018994	Biliary Tract Hemorrhage
C0520571	Biliary fibrosis
C1142335	Bilirubin abnormal
C0855625	Bilirubin conjugated increased
C0858307	Bilirubin normal
C0741494	Bilirubin total increased
C0740435	Bilirubin unconjugated increased
C0859061	Bilirubin value increased
C0596170	Binge eating disorder
C0005586	Bipolar Disorder
C0853193	Bipolar I disorder
C0860645	Bizarre dreams
C0235347	Black hairy tongue
C0859290	Black spot
C0312422	Blackout - symptom
C0005681	Blackwater Fever
C0156273	Bladder Diverticulum
C0005695	Bladder Neoplasm
C0854448	Bladder constriction
C0549253	Bladder dilatation
C0549391	Bladder discomfort
C0005687	Bladder distention
C0232841	Bladder dysfunction
C0521626	Bladder fibrosis
C2945586	Bladder irritability
C0005694	Bladder neck obstruction
C0341751	Bladder necrosis
C0232849	Bladder pain
C0426390	Bladder spasm
C0151919	Bladder stenosis
C0948786	Blanching
C0277941	Blanching of skin
C0005699	Blast Phase
C0005716	Blastomycosis
C0155789	Bleeding esophageal varices
C0426747	Bleeding from anus
C0341164	Bleeding gastric ulcer
C0574741	Bleeding skin
C1458140	Bleeding tendency
C0151529	Bleeding time prolonged
C0854438	Blepharal pigmentation
C0005741	Blepharitis
C0271308	Blepharitis allergic
C0005743	Blepharoconjunctivitis
C0005745	Blepharoptosis
C0005747	Blepharospasm
C0266648	Blighted ovum
C0456909	Blind Vision
C1879328	Blindness both eyes NOS (disorder)
C0271240	Blindness of one eye (disorder)
C0155320	Blindness, Cortical
C0155003	Blindness, Transient
C0857257	Bloated feeling
C0005779	Blood Coagulation Disorders
C0079027	Blood Loss, Surgical
C0005818	Blood Platelet Disorders
C0853050	Blood acid phosphatase increased
C0853777	Blood albumin decreased
C0853776	Blood albumin increased
C0852911	Blood alkaline phosphatase increased
C0852913	Blood amylase increased
C0853592	Blood antidiuretic hormone abnormal
C0853263	Blood bicarbonate
C0852909	Blood bicarbonate decreased
C0853737	Blood bicarbonate increased
C1142015	Blood bilirubin abnormal
C0877336	Blood bilirubin decreased
C0853289	Blood bilirubin normal
C0854134	Blood bilirubin unconjugated increased
C0853772	Blood calcium abnormal
C0595902	Blood chloride decreased
C0595900	Blood chloride increased
C0853595	Blood cholesterol abnormal
C1536916	Blood cholesterol decreased result
C0595930	Blood cholesterol increased
C0005778	Blood coagulation
C0852792	Blood cortisol decreased
C1535970	Blood count abnormal
C0854029	Blood creatine increased
C0853958	Blood creatine phosphokinase MB increased
C0853782	Blood creatine phosphokinase abnormal
C0853034	Blood creatine phosphokinase increased
C0853746	Blood creatinine abnormal
C0852810	Blood creatinine decreased
C0235431	Blood creatinine increased
C0853035	Blood creatinine normal
C0740299	Blood culture positive
C0853748	Blood electrolytes abnormal
C0853885	Blood electrolytes decreased
C0854062	Blood fibrinogen decreased
C0852921	Blood fibrinogen increased
C0853124	Blood follicle stimulating hormone increased
C0476337	Blood gases abnormal
C0853890	Blood gastrin increased
C0580546	Blood glucose abnormal
C0595883	Blood glucose decreased
C0877314	Blood glucose fluctuation
C0595877	Blood glucose increased
C0853974	Blood gonadotrophin decreased
C0853973	Blood gonadotrophin increased
C0853015	Blood growth hormone increased
C0853705	Blood immunoglobulin G decreased
C1321898	Blood in stool
C0854380	Blood insulin decreased
C0852795	Blood insulin increased
C0853785	Blood iron decreased
C0853784	Blood iron increased
C0853149	Blood lactate dehydrogenase increased
C0853123	Blood luteinising hormone increased
C0853750	Blood magnesium decreased
C0853749	Blood magnesium increased
C1112762	Blood methaemoglobin present
C0860745	Blood monocytes increased
C0860749	Blood neutrophil count decreased
C0853021	Blood oestrogen decreased
C0853020	Blood oestrogen increased
C0853755	Blood osmolarity decreased
C0853754	Blood osmolarity increased
C0853028	Blood pH decreased
C1096509	Blood pancreatic amylase increased
C0853023	Blood parathyroid hormone increased
C0853753	Blood phosphate increased
C0877517	Blood phosphorus decreased
C0919625	Blood phosphorus increased
C0853759	Blood potassium abnormal
C0853761	Blood potassium decreased
C0853760	Blood potassium increased
C0005826	Blood pressure abnormal
C1268766	Blood pressure alteration (finding)
C0277889	Blood pressure diastolic increased
C0549405	Blood pressure fluctuation
C0919892	Blood pressure inadequately controlled
C0277885	Blood pressure systolic decreased
C0277884	Blood pressure systolic increased
C0853710	Blood prolactin decreased
C0854082	Blood prolactin increased
C0595878	Blood sodium increased
C0854146	Blood test abnormal
C0853117	Blood testosterone decreased
C0853118	Blood testosterone increased
C0852990	Blood thromboplastin decreased
C0853018	Blood thyroid stimulating hormone decreased
C0853019	Blood thyroid stimulating hormone increased
C0854111	Blood triglycerides decreased
C0853692	Blood triglycerides increased
C0438242	Blood urea abnormal
C0549395	Blood urea decreased
C0151539	Blood urea increased
C0438241	Blood urea normal
C0855642	Blood uric acid abnormal
C0855644	Blood uric acid decreased
C0235416	Blood uric acid increased
C0947999	Blood urine present
C0855675	Blood zinc decreased
C0333271	Bloody discharge finding
C0233469	Blunted affect
C0344232	Blurred vision
C0043096	Body Weight decreased
C1096393	Body fat disorder
C0574770	Body hair loss
C2732728	Body height decreased
C0231255	Body mass index decreased
C0085595	Body odor
C0005940	Bone Diseases
C1704327	Bone Sarcoma
C0153690	Bone cancer metastatic
C0877225	Bone density decreased
C0231557	Bone development abnormal
C0238792	Bone lesion
C0151773	Bone marrow depression
C0238796	Bone marrow granuloma
C0948168	Bone marrow toxicity
C1306580	Bone mass decreased
C0029445	Bone necrosis
C0005967	Bone neoplasms
C0151825	Bone pain
C0549335	Bone pain aggravated
C0238807	Bone tenderness
C0232693	Bowel sounds
C0426649	Bowel spasm
C0006079	Bowen's Disease
C0079035	Bradyarrhythmia (disorder)
C0428977	Bradycardia
C0410919	Bradycardia foetal
C0221047	Bradycardia-tachycardia syndrome
C0233565	Bradykinesia
C0554976	Bradyphrenia
C0006105	Brain Abscess
C0006107	Brain Concussion
C0006111	Brain Diseases
C0006112	Brain Diseases, Metabolic
C1527311	Brain Edema
C1527348	Brain Hypoxia
C0751955	Brain Infarction
C0270611	Brain Injuries
C0006118	Brain Neoplasms
C0553692	Brain hemorrhage
C0677865	Brain stem glioma
C0521540	Brain stem haemorrhage
C1328447	Brain stem syndrome
C3495440	Break-through bleeding (finding)
C1135120	Breakthrough Pain
C0678222	Breast Carcinoma
C0006144	Breast Cyst
C0006145	Breast Diseases
C0006147	Breast Feeding
C0016034	Breast Fibrocystic Disease
C0520594	Breast Microcalcification
C0242788	Breast Neoplasms, Male
C0151463	Breast abscess
C0587094	Breast calcifications
C0877338	Breast discomfort
C0085688	Breast engorgement
C0235648	Breast enlargement female
C0269268	Breast induration
C0266008	Breast malformation
C0235649	Breast oedema
C0235792	Breast pain male
C0006152	Breast swelling
C0262397	Breast tenderness
C1142383	Breast tension
C0235744	Breath Holding
C0424332	Breath holding with temper
C0006261	Bronchial Diseases
C0085129	Bronchial Hyperreactivity
C0006266	Bronchial Spasm
C1321133	Bronchial hemorrhage
C0221725	Bronchial obstruction
C0006267	Bronchiectasis
C0006271	Bronchiolitis
C0006272	Bronchiolitis Obliterans
C0242770	Bronchiolitis Obliterans Organizing Pneumonia
C0007120	Bronchioloalveolar Adenocarcinoma
C0006277	Bronchitis
C0264344	Bronchitis bacterial
C0276141	Bronchitis viral
C0079043	Bronchoconstriction
C0006285	Bronchopneumonia
C1096448	Bronchopneumopathy
C2350530	Bronchopulmonary Aspergillosis
C0006287	Bronchopulmonary Dysplasia
C0235906	Bronchospasm aggravated
C0236072	Bronchospasm paradoxical
C1142277	Brown urine
C1142166	Brugada Syndrome (disorder)
C0006325	Bruxism
C0235340	Buccal inflammation
C0235344	Buccal mucosa ulceration
C0856152	Buccal mucosal roughening
C0151538	Buccoglossal syndrome
C0852885	Bucking
C0856761	Budd-Chiari Syndrome
C0520573	Buffalo hump
C0006370	Bulimia
C2267227	Bulimia Nervosa
C0005758	Bulla
C0235818	Bullous eruption
C0021100	Bullous impetigo
C0155111	Bullous keratopathy
C0023648	Bullous lichen planus
C0030805	Bullous pemphigoid
C0006384	Bundle-Branch Block
C0006413	Burkitt Lymphoma
C0006434	Burn injury
C0006430	Burning Mouth Syndrome
C0877605	Burning anal
C0236083	Burning feeling vagina
C0562057	Burning in throat
C0859371	Burning lips (sensation)
C0877717	Burning mouth (sensation)
C0541819	Burning rectal
C0085624	Burning sensation
C0234655	Burning sensation in eye
C0241057	Burning sensation of skin
C0241426	Burning tongue
C0332687	Burns second degree
C0006444	Bursitis
C0742906	C-reactive protein increased
C1696700	C1 esterase deficiency acquired
C0853142	CD4 lymphocytes decreased
C0007682	CNS disorder
C0686377	CNS metastases
C3160947	CNS toxicity
C0740304	COPD exacerbation
C0553702	Ca++ increased
C0006625	Cachexia
C1533591	Calcification
C0221255	Calcification metastatic
C0006663	Calcinosis
C0006705	Calcium Metabolism Disorders
C0595876	Calcium intoxication
C0860967	Calcium low
C0553730	Calcium pyrophosphate deposition disease
C1142239	Call-Fleming syndrome
C0423172	Canaliculitis
C0596240	Cancer pain
C0276680	Candida albicans infection
C0742224	Candida cervicitis
C0006840	Candidiasis
C0006852	Candidiasis of vagina
C0700345	Candidiasis, Vulvovaginal
C0403723	Candiduria
C1096213	Cannula site reaction
C0006905	Capillary Fragility
C0343084	Capillary Leak Syndrome
C0151541	Capillary fragility increased
C0522058	Carbohydrate craving
